epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1059.87,1.24617,0.97748,1.34904,0.87105,0.84099,0.92438,0.63318,1.08146,0.74727,1.23287,0.0011882,0.0011882,0.0011882
43,1085.86,1.22983,0.97765,1.3501,0.85533,0.82795,0.90638,0.6011,1.12878,0.78457,1.27705,0.0011684,0.0011684,0.0011684
44,1111.28,1.2339,0.99749,1.34172,0.87787,0.82311,0.92039,0.63395,1.09955,0.76583,1.2367,0.0011486,0.0011486,0.0011486
45,1136.47,1.20657,0.98587,1.33287,0.8594,0.81036,0.90752,0.61294,1.11597,0.8167,1.28887,0.0011288,0.0011288,0.0011288
46,1161.77,1.22467,0.95217,1.31664,0.86832,0.86093,0.93421,0.63548,1.10265,0.72275,1.24641,0.001109,0.001109,0.001109
47,1186.77,1.1881,0.92862,1.31615,0.88263,0.86115,0.94025,0.65555,1.05748,0.70142,1.2224,0.0010892,0.0010892,0.0010892
48,1211.85,1.17353,0.90801,1.30459,0.86578,0.86287,0.93381,0.65447,1.07445,0.70332,1.20906,0.0010694,0.0010694,0.0010694
49,1237.09,1.21712,0.9264,1.31998,0.88348,0.86276,0.93585,0.6562,1.05191,0.73318,1.21606,0.0010496,0.0010496,0.0010496
50,1262.88,1.17491,0.90953,1.30014,0.87143,0.87527,0.93489,0.64948,1.06974,0.71828,1.22151,0.0010298,0.0010298,0.0010298
51,1287.72,1.18336,0.90171,1.30119,0.85815,0.86048,0.93379,0.66211,1.04233,0.70498,1.20725,0.00101,0.00101,0.00101
52,1312.73,1.17624,0.89138,1.29652,0.85812,0.86468,0.93453,0.65432,1.05903,0.71207,1.20586,0.0009902,0.0009902,0.0009902
53,1338.88,1.16455,0.89353,1.29019,0.85213,0.8709,0.93027,0.64064,1.09774,0.73,1.2272,0.0009704,0.0009704,0.0009704
54,1363.86,1.17104,0.88557,1.2986,0.86493,0.86877,0.93785,0.66607,1.02556,0.68598,1.19967,0.0009506,0.0009506,0.0009506
55,1389.22,1.14852,0.8936,1.29467,0.88638,0.86493,0.94019,0.66862,1.02616,0.71009,1.19399,0.0009308,0.0009308,0.0009308
56,1414.3,1.15468,0.8907,1.29521,0.88533,0.90099,0.95439,0.68772,0.98993,0.63385,1.18425,0.000911,0.000911,0.000911
57,1439.29,1.13795,0.88188,1.29737,0.89881,0.8833,0.95126,0.68051,1.00425,0.64523,1.19017,0.0008912,0.0008912,0.0008912
58,1464.49,1.13316,0.86497,1.29527,0.89241,0.88621,0.94841,0.67999,1.00465,0.66354,1.18197,0.0008714,0.0008714,0.0008714
59,1489.37,1.13426,0.85155,1.27803,0.89804,0.89295,0.95485,0.68166,1.01417,0.6272,1.18983,0.0008516,0.0008516,0.0008516
60,1514.42,1.12146,0.84905,1.28108,0.89705,0.88975,0.95214,0.68309,1.00198,0.63346,1.18012,0.0008318,0.0008318,0.0008318
61,1539.56,1.14731,0.84974,1.27925,0.89424,0.88621,0.95223,0.69948,0.97135,0.62279,1.15541,0.000812,0.000812,0.000812
62,1564.68,1.12484,0.85111,1.28752,0.91768,0.89716,0.96185,0.7066,0.95965,0.60677,1.15608,0.0007922,0.0007922,0.0007922
63,1589.67,1.08538,0.81024,1.25794,0.90558,0.90242,0.95913,0.70791,0.96188,0.59298,1.15174,0.0007724,0.0007724,0.0007724
64,1616.13,1.09793,0.82918,1.25173,0.89878,0.91685,0.96155,0.70865,0.95469,0.59481,1.14505,0.0007526,0.0007526,0.0007526
65,1641.37,1.07527,0.8057,1.23165,0.92305,0.90116,0.96555,0.69993,0.97316,0.60107,1.15505,0.0007328,0.0007328,0.0007328
66,1666.18,1.08624,0.78269,1.25048,0.92423,0.91101,0.9674,0.70748,0.95968,0.57977,1.13647,0.000713,0.000713,0.000713
67,1690.93,1.10492,0.8138,1.26322,0.89844,0.92911,0.96563,0.71367,0.96615,0.58795,1.13332,0.0006932,0.0006932,0.0006932
68,1715.75,1.08618,0.80308,1.26199,0.90458,0.89895,0.9632,0.71943,0.93283,0.58014,1.12689,0.0006734,0.0006734,0.0006734
69,1740.65,1.09754,0.80082,1.24963,0.88651,0.92304,0.96327,0.70403,0.94383,0.58247,1.13513,0.0006536,0.0006536,0.0006536
70,1765.44,1.07405,0.7698,1.23962,0.91582,0.90445,0.96617,0.72388,0.92759,0.56532,1.11633,0.0006338,0.0006338,0.0006338
71,1790.31,1.06135,0.7929,1.23238,0.90977,0.92664,0.97054,0.73601,0.90717,0.54849,1.11637,0.000614,0.000614,0.000614
72,1815.16,1.05512,0.78406,1.22545,0.9176,0.92706,0.97227,0.74191,0.89715,0.54034,1.09896,0.0005942,0.0005942,0.0005942
73,1840.08,1.03898,0.75104,1.21778,0.9278,0.92706,0.9733,0.73722,0.89116,0.53198,1.09872,0.0005744,0.0005744,0.0005744
74,1864.99,1.0296,0.76008,1.21859,0.92281,0.92195,0.97216,0.73737,0.87119,0.54291,1.09461,0.0005546,0.0005546,0.0005546
75,1890.28,1.04512,0.73797,1.21936,0.92928,0.93144,0.97519,0.74311,0.87208,0.52129,1.08785,0.0005348,0.0005348,0.0005348
76,1916.35,1.01728,0.71378,1.19762,0.92912,0.92748,0.97584,0.747,0.86472,0.52403,1.08414,0.000515,0.000515,0.000515
77,1955.33,1.00055,0.70716,1.18777,0.94068,0.92779,0.97765,0.74956,0.85866,0.51281,1.07988,0.0004952,0.0004952,0.0004952
78,1980.17,1.04792,0.73722,1.21976,0.92349,0.94748,0.98004,0.75339,0.85552,0.50525,1.08516,0.0004754,0.0004754,0.0004754
79,2005.12,1.02352,0.74199,1.20334,0.92898,0.935,0.97755,0.75692,0.84774,0.51108,1.07474,0.0004556,0.0004556,0.0004556
80,2029.86,1.00193,0.72587,1.19,0.93555,0.94602,0.98009,0.76231,0.84199,0.4931,1.06883,0.0004358,0.0004358,0.0004358
81,2054.8,1.00199,0.69496,1.18823,0.93224,0.9433,0.98105,0.76135,0.83621,0.48273,1.06399,0.000416,0.000416,0.000416
82,2079.48,0.98298,0.69223,1.18066,0.94262,0.93453,0.98054,0.76348,0.8227,0.48522,1.05969,0.0003962,0.0003962,0.0003962
83,2104.12,0.98483,0.686,1.18382,0.94361,0.93985,0.97948,0.75902,0.8366,0.49703,1.05875,0.0003764,0.0003764,0.0003764
84,2128.84,1.02919,0.71119,1.20841,0.94123,0.94165,0.98283,0.76641,0.82092,0.47662,1.05655,0.0003566,0.0003566,0.0003566
85,2153.66,0.99065,0.68666,1.19217,0.94296,0.94056,0.9824,0.77548,0.80965,0.47205,1.04857,0.0003368,0.0003368,0.0003368
86,2178.43,0.9607,0.66388,1.18256,0.94309,0.9453,0.98353,0.77658,0.81002,0.465,1.04622,0.000317,0.000317,0.000317
87,2203.08,0.94752,0.6653,1.16663,0.93366,0.94748,0.98305,0.77729,0.80439,0.47085,1.04402,0.0002972,0.0002972,0.0002972
88,2227.81,0.951,0.66263,1.16468,0.94027,0.95551,0.98322,0.78142,0.79738,0.46118,1.0418,0.0002774,0.0002774,0.0002774
89,2252.58,0.95734,0.64843,1.16783,0.95051,0.94894,0.98415,0.7858,0.78289,0.45409,1.03028,0.0002576,0.0002576,0.0002576
90,2277.69,0.96273,0.67302,1.16504,0.94671,0.95896,0.9843,0.78712,0.77951,0.44468,1.03037,0.0002378,0.0002378,0.0002378
91,2306.7,0.87902,0.56214,1.11894,0.94059,0.93536,0.98183,0.77162,0.80425,0.46528,1.04344,0.000218,0.000218,0.000218
92,2331.5,0.85553,0.52334,1.09598,0.94617,0.94868,0.98456,0.78674,0.7693,0.44578,1.02352,0.0001982,0.0001982,0.0001982
93,2356.43,0.8408,0.5175,1.09028,0.95501,0.94453,0.9851,0.78658,0.7747,0.44748,1.02411,0.0001784,0.0001784,0.0001784
94,2381.1,0.8249,0.5231,1.09517,0.94761,0.95332,0.98606,0.79458,0.75891,0.43563,1.01432,0.0001586,0.0001586,0.0001586
95,2405.85,0.8289,0.50909,1.09145,0.95248,0.95551,0.98604,0.79625,0.75178,0.43301,1.01389,0.0001388,0.0001388,0.0001388
96,2430.6,0.81816,0.49512,1.07882,0.95672,0.95405,0.98619,0.80083,0.74015,0.42407,1.0071,0.000119,0.000119,0.000119
97,2455.34,0.79047,0.48458,1.06729,0.96259,0.95726,0.98719,0.80015,0.74391,0.42305,1.00916,9.92e-05,9.92e-05,9.92e-05
98,2480.12,0.78323,0.47224,1.05256,0.96511,0.95478,0.98706,0.80239,0.74125,0.41894,1.00569,7.94e-05,7.94e-05,7.94e-05
99,2504.83,0.81824,0.5047,1.08547,0.95599,0.95915,0.98739,0.80626,0.73484,0.41744,1.0004,5.96e-05,5.96e-05,5.96e-05
100,2529.45,0.80609,0.49732,1.08212,0.9607,0.95405,0.98751,0.80498,0.73247,0.41639,1.00175,3.98e-05,3.98e-05,3.98e-05
